content,score
"ilike dis game you like dis game,?",5
cool,5
Casual fun game,5
😂😂😂😂😂😂😂🤣🤣🤣🤣🤣😂🤣🤣🤩🤩🤩🤩🤩😍😍😍,5
Its really boring tbh 😬,2
This game has so much ads and lag by the way I hate this game,1
"To many ads, near idea but it isn't worth my time",2
To many adds,1
It is awsome,5
Fun,5
It's good it just gets pretty glitchy sometimes,3
As advertised...thank you,4
I hate it bc it said it was to much ads I hate it so much and I'm 10 year old I'm in my mom account roof rails bad do not play who ever want to play it Delete it NOW !,1
It gives you an ad every time you move to the next level,1
Because uts fun,5
The game is fun but when you pay to buy it you still have ads which makes no sense the only ads it removes is the ones that play after each level everything else is adds,2
I love this game a lot,5
Good,5
So bad. I don't like it their is a ad after every round.,1
Love it,5
Great,4
Good concept needs improvement.,3
2 many ads,1
"This game is very interesting,i love it",5
The game is very fun and addicting although 60% of time on the app is watching ads.i have a lot of fun playing this game along with anothe called music tiles which is by the same creator with the same problem,4
I like this game,5
it's interesting and easy to play,5
Goe game,1
"Fun game to test your skills of balance and line up, to get the little fella through the course at the end for the highest score.",5
Iski mb ghatao to bhai,1
🇮🇳🇮🇳😍🤩😕🛌,1
This game suck. Have too many lags and the ads it's really annoying,1
"Mrs dillion, It isn't the game it's the ads And it cannot be fixed ma'am",5
IT'S AWESOME,4
ADS GALOR after ever level u have to watch an ad or pay to remove cannot shut off data if 0 or negative was an option I would give it -50 atleast,1
Basically Advertisement: The Game. Interesting concept executed poorly.,2
It's amazing all I see is tt ppl play this game so I was like I have to download it,5
I love it,5
its one of those annyoing app games it just gets repetative after the first level,2
We all here fom tik tok,5
I love it,5
This sucks cus this game have to many ads,1
this game is really good but there are too many ads and you cant play this game offline they force you to turn on your internet to play and i find it annoying,1
Good,5
Good game but you have to use internet so they can show you ads,2
Op,4
Best app,5
Nice,5
It's good but too much of ads🙄 love it thoo😊,5
Worst game,1
Fun for a couple minutes. Then I uninstalled.,3
its ugly,1
Very poor game,1
i dont recomend because its too much ad i think i played ad not the game 🙄,2
Fun fu fun for life,5
"Ads after every level, no ty",1
I like it although it seems like it's just so similar to high heals,4
Good,5
It is bad😂😂😂😂😂😂😂 this game is trash🤣🤣 HAHA🤣😂🤣😂,1
It's a good game but hold the ads,5
"I got bored with it very easily, but it is a good game.",4
Good game,1
This game is sk adikting i love this game so much but there is to many ads.,5
Ho😋😙😚😙😗🤨🤨😑fbđtkèýhhhþtèh1,5
Wonderful game,5
I Love this game,5
How,5
Requires you to turn on internet so it can spam you with ads and the same level being repeated again and again,1
This app so good for kids i love these,5
Good,2
Best,5
"Ads do not always match E - Everyone rating, thus inappropriate.",1
Its laggy but fun,5
It is very good,5
Great Game love every part of it and it is very fun with not alot of ads,5
Good game,4
I love this game I am addicted and its just to fun!,5
This is really cool and I just go in my own world when I am playing it for 2min,5
the game is slow and laggy and offline play is disabled so theres no getting around it,1
I nearly got 20,5
Trash game not even loading my wifi is so good,1
"So far, it's good 👍",5
I love it ♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💗💗💗💗💗💗💗💗💗💗💗💓💓💓💓💓💓💞💞💞💞💞💞💞💕💕💕💕💕💕💕but it's not for me,2
This type of game really test your nerves I crash almost emedeatly.,5
So fun,5
WHAT IS THE BEST !and if I need a new one yay!,5
Niceeee gameeew,5
Nice,5
"Muchos anuncios, el juego está bien pero estaría mejor sin anuncios",1
THIS GAME IS ABSOLUTE ULSH*T! This lagged my tablet out and it didn't turn on for the next 3DAYS!!! DONT DOWNLOAD THIS GAME ITS A LAG FEST! AND IT MIGHT ASWELL JUST BE CALLED AN ADVERT!!! 😡😠🤬😡😠😡😡😡😡😡😡😡🤬🤬🤬🤬🤬🤬🤬👿👿👿👿👿,1
I am is a good player,5
Good,5
Purana Bada boat,1
Ez so I lost interest after level 80 or 100 I lost count,4
its a really great game,5
Yunus Saifi,5
its very fun you can level up and get new stuff,5
So much fun,4
Has like a millon ads,1
A required network connection to play the ga- show you ads around 50% of playing time. Absolutely a joke.,1
This game is full of ads.,1
Very easy to use,5
Good game,5
