content,score
Wow that's great game,5
GOOD GAME,3
Dj maaz,5
Its fan,5
So bad.bad,1
Awesome 🤣,4
Very fun game,5
Best game,5
Ok,5
No interest,5
Good,5
Nice😍,5
Www,1
Fine game,5
😈😉😁😀😊☺😮,5
Super game,3
Too many ads.,1
Euheeh,5
Very nice game,5
I love this game and ao interacting,5
I LOVE THE GAMES IN GAME,5
👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,5
This game is not opening fast,5
Good game,5
OK,5
Rihan,5
😻😻😼😻😼😼😼😽😽😽😺😸😹🤭oing,5
Cool,4
seru bangen escape masters nya,5
😀😃😄,5
I like it,5
Great game,5
Good game,5
HH,5
Enjoy and relaxing,5
😑😑,2
Nice,5
Rk,5
Good,5
Amazing work,5
"I want to give 0 because of too many adds and after each game you have finished you have a add, it gives to you gold and after you do not know how to spend it because everything is for watching add",1
Nice,5
Bad app👎👎👎👎👎👎👎😡😡😡😡😡😡😡😫😫😫😫😫😫😫😫😫😫😫😫😫👎👎👎👎👎👎👎👎👎👎👎👎👎,1
Dheeraj singh Thakur Nice game,5
It's so interesting game,5
M l,5
Good game,5
Really good,5
Fake game the worst game i ever play or see it,1
Yesh,5
Hi bro,5
I'll give one star because this game is stupid,1
Bad game,1
So so so so so so so intresting,5
It is so much fun I like it,4
Best game but there are full of ads,2
Good,5
Thanks for the game I was so happy for this game 😊😊,5
Revised review. This is a fun game. But with the amount of ads and the constant freezing i can't rate it more than one star.,1
Superb,5
Sudcu yd,5
Too much,5
nice game,5
Ajay yadav,5
Good,5
عالی بود روی گوشی اندروید هم میشه,5
Very nice game,1
Nyc,5
good game,5
Good,5
Bakwas game he .,1
SAIHELE,5
Fgh,5
Ok this game,4
Very very bad game,1
Bhut hi bekar game ha,1
It's amazing,5
H re tn,5
attraction game,5
Sebastian and shaoom is very nice children he Play this game he speaks very very very very very very highstander games thank you for watching my channel 😘😘😘😘😜😜🤢🤢🤢🤮🤮🤧🤧💩💩😓😈🤮🧟‍♂️🧟‍♀️🦓🦓🦓🦍🦍🐒🐒🐤🐥🐛🐜🐝🌺🍂🌵🌰🏥🏥🏘️🏚️🏚️🏗️🏣🏣🏣🏭🏭🏦🏗️🏛️🍉🍫🍺🍼🍼🍰🦄🐎🐅👓🕶️👔👕👖👘👢👑🎓👡👝🥇🎆🥇🥇⚾🌋🗻🏕️🏖️🏝️🏝️🏣🏥🏦🏦🏦🏥🏬🏫🏫🏪🏫⛪🕌🏭🏯🏯🎗️🎟️🎫🎫🎟️⚽🏆🏆🎑👢👝🛍️🛍️🎒👞👟👘👟🎒👘🛍️🎒👞From India 🇮🇷🇦🇸🇦🇹🇨🇭🇨🇬🇨🇴🇬🇼🇬🇲🇬🇳🇬🇮🇬🇭🇬🇭🇬🇹🇬🇺By by by by👋,5
Haha,5
Super,5
Fantastic🤘😝🤘,5
Very nice game please remove add,5
Very bad,5
Cool,1
Awesome,5
Good,4
Nice,5
Saif Ali,5
Good,5
good game,5
woow love this game,5
In this game many time ads is show In the ads that you show the game is actually opposite of ads,1
So nice game my brother like it,5
Good,1
Too much of ads.. also this game is for 2 yrs old,1
Very best game,5
Nice game,5
Awesome,5
Yah download nahin ho rahi hai,1
But good luck with the strange,5
Amazing💕😍 Randy Orton type experience,5
٩٩ي,5
Good,3
Super,5
Best game,5
nice,5
H😇😇,5
Good game,5
Nice app,5
Too nice game ...I m having good time pass...with this... thank you..,5
Op,5
Kate and snowy and Marcus,1
Good,5
"I got the game just to make this review, but I don't how you can advertise sexual 3d content for something that is in 2d and is the opposite of 18+ and in some way get away with it Welp apparently you scum of the earth can 😐",1
Pk,5
Boring,1
ಕುಮಾರ ಜಾಧವ,1
Just awesome,5
Have Have,5
Sss,5
Zain,5
I am master on thes game,5
Ax b,5
Nice app,5
LOL not even Youtube play such numbers of ads you have in this stupid game.,1
Wowwwwwwwww Wwwwwwwwww the same Day installation is complete and return to the same Day installation of the day,5
Hebat,5
Awesome,5
I love you game,5
so cool,5
give.me player,5
رائعه,5
It is scary become we might die,5
wow,5
Baneswar,5
Hasibul,5
M suresh,4
Nice,5
Good Game,5
I give it five stars cos its' an amazing game its so fun and filled with surprises and excitment to who ever is looking at my feedback do download this game😃😍😘💝💓,5
The song ever,5
Too much add and nothing like the ad,1
I love this game so much,5
Awesome 😎😎,5
Rudrapratap,5
Done,5
This is very fun I love it 🤩🤩🤩🙂🙂🙂🍨🍨❤️😂,5
Nice game,5
Nice,5
😀😀😀😀😀😃,5
Nice,5
Good,4
More add time than playtime .,1
😍😍it's fun,5
Nice,5
Super 👍,5
Nive,5
Worst experience,1
Dislike,1
Nice,5
عالیههه چرا یه ستاره دادین عالیههه😘😘,5
Nice game,5
Die hard 😡😡Smith rkror had more keen,1
SUPER,5
Op,5
MD Arbaj Khan,5
Nice,5
Op,4
op,5
REEDAN,2
Nic game,5
Ranjit,1
Its a very poor game after every level thier is ads.if you have lot of free time and can control your frustration you can go for it.,1
Oola game,1
Abc,5
Full of adds. Repeatative,1
Best game,4
Its bolshet game wasting of time to bad,1
Good,2
Ok,5
Aagaya swaad,5
Golu.gold,5
Good,5
This game so cool 😎,5
good,5
Best ofline gm R,5
Super,5
