content,score
"The reason why I am giving this game 3/5 is because you grap all cubes, perfectly and move perfectly just as the level is intended to be played, you can't reach x20 at the end. You reach samewhere between X7 to x12 and this doesn't make sense. If the end is the reward based on the player performance, than actually make it a reward based on the player performance, if I play level perfectly give me x20, some time it jump and sometime it doesn't jump",3
Interesting,5
This Game Is Beautiful On The Kids 🤍 Because The All Diamond In This Game Is Deal The All Rights I Luv You Game,5
Would be fun but it's over run with ads...,2
Too many ads,1
🤩🤩🤩,3
irfan baloch,5
"I would give this 5 stars, but there's a spot where you get a ad during the game stresses me out",4
Great game overall but the ads buthurt,5
I don't know ha ha ha ha....🖕😎😏<(￣︶￣)↗,1
I gave 2 stars I always WIN but I always have very short blocks underneath me and I never get to the chest,2
"Assom,Super,Exellent.",5
I do not know what you guys are talking about this is a great game very simple but fun a lot of fun,5
I really loved this game it is very interesting game . Thank you play store app . But it take too much time to install . But it is my favorite game please give us more cube sufer games like this . Thank you again .😇😇😇.,5
Its just horrible so many ads and it even forces you to turn on wifi,1
High five to six months ago,1
Its okay i guess,4
Cringe. And wayyyy to many ads.,1
Anze,1
It is fun and interesting 😺🙂🙂🙂😺🙂😺,5
Excellent job 👏👍👌,4
Like I like it😊,4
Bagus tapi kalah terusss!!,3
Nice game 👍🎯,4
El love you,1
Gh h,4
I actually love this game. And it is ausome. But it is not that nice to give 5 star to it,4
Sooooo cool,5
Free Fire,5
WOW😮,5
"To many ads here a star for you,also not offline game",1
ang panget ng laro tapos madaya amp,1
the game is good but the too many ads. its killing me!,2
I give 5 stars but...,5
Too many adds,1
To many commercial,1
It was pretty great but there is way to many ads and one poped up in the middle of a round which caused me to fail.,2
The game is good i was playing the games plz play the games.,5
It's amazing game I love it,5
Too many ads to even enjoy. What a joke of a game.,1
Dont waste your time to download this because when you get a block it going to waste,1
So many ads,1
nice,5
sap tap law mad,5
I LIKE THIS GAME ♥️♥️,5
"Another VOODOO experience. Simplistic design and still awful. I'm pretty sure they're just making these games just to bombard it with just ads, most of which happens to be their own games majority of the time. There is ads in between levels, and it is impossible to clear a level without being forced to watch an ad, not to mention the banners before you start, which I should include the ""watch ad get reward"" system again to this review. There is no menu, no level select, and undoubtedly more ads.",1
Oooooooooooooooooooooooooooookkkkkkkkkkkkkkkkkkkkkkkkkkkkk,5
High schools,5
Too many ads ..pls stop it,1
I like this game,5
Bad,4
"Would have and could have been a great game, but the excessive amount of ads constantly interrupting game play has made this game UNBEARABLE to play. Adverts before, during and after each stage played is just excessive. Then still additional adds to double up on benefits. The latter makes sense, but jeez, the number of ads during game play is just ridiculous.",1
Surf your way to finish!,5
This game is really good but I think there's too many so you could fix that HP crate all the ads and have been going on the past days,5
"Just so you know, to prevent ads, you can turn on airplane mode",5
Nice game,5
Ride,1
Really love this game! I'm big brain so who's been suffering from ads please turn off your wifi the ad won't come! #Cube Surfer,5
😊😊😊😊😁💙💙💙,5
Yash,5
I hate this game very boor game 😈😈😈😈,1
GUI iyrr,1
It's good but there is a problem that between playing it's has stop for some time😔😔😔😔😔😔😔other wise it's good,5
"Que asco, lleno de anuncios, aparecen hasta cuando estás en mitad de la partida, omitis el anuncio y terminas perdiendo por un bug del juego. No se abusen con eso",1
We are here to play game not for watching ads.,1
Good time killer,4
Geme burik,1
It's a very good game,4
i Love this game morning,5
This is awesome!,3
Funny,5
I love this game so much thank you for making this,5
اه اه اه. همه ش تبلیغات,1
Goood game but it had music so not scan a scam uts good for a long Journey,5
Glitchy,2
Addicted hence removed,3
Best,5
Too many ads...... worst ever,1
The only thing is to be a great day and I C to be a good idea but the only thing I have a nice time at the only thing is that the message to the same,5
"I really really like this game but there is far too many ads, everytime you win a level, everytime you fail a level and even half way through a level to get to a bonus! I don't mind ads they sometimes help me pick my next game but in this game it makes a quick addictive game a very slow process!!",2
Nice Another level,5
Hello develpos your game is cool cool and very cool,5
"Can't play unless you have internet access and to make the ads worse, they've now put them in the middle of the levels. I played one level and had to watch an ad midway and at the end, uninstalled",1
Get rid of tiktok adds,5
So enjoying game ☺️,5
Bekaar,1
Great 😀😀😀😀😀😀😀👌👍,5
Very bad game and ads,1
I give it a four not because of the game the game is really fun don't get me wrong but there's way too many ads,4
My cousins love this game they always play this,5
Wow,5
"This is 5 stars cause it's really fun game, if u turn off the Wi-Fi the ads will not appear to this game, i play this at night i play alot but it's very easy to play this, i like this so much, i keep play this to much... This getting me crazy cause it's really fun i said ""Omg so fun ahhh' hahaha i was loughing like getting crazy it's fun I'm getting sweating cause i play this to much🥵🥵 hahaha this is fun game try this at all it's fun 😹😹😹",5
Good luck,1
Pagit,1
Likea,5
I love this game cuz it's burning awesome,5
hjkkggvn.mp0y22gbxмирХХРОМСЁӨАИРОҮ7ГЖРЗКГНОКК000ЛААМИВӨӨЪАМИЬЛОАХТЬВХМЬВАМЬВААХОЛАИШР ИИИМОРРОООМӨАӨЗЗКЁМИЛЛОООДДДДЛЛЛЛДЛЛЛООООЛЛЛДМИПХИЬДИТДОЬЛРИЛКҮООЛЛДЛДДДХХЬВВМТТХРХРОВТХРРРРДЛҮШШШДЗКШГЬВВВДОХХОЛЛОЛОООЛЛДДДЗККККЗКЗЛРХМИТЬД😀🇧🇹🇧🇹🇧🇹🚈🚖🚁🚅🚀🚠🚈🚠🚟🚟🚟,5
i like this game but is a little hard and easy duh soooo i have noting to say because adam he need some milk! ayyyyyyy,5
Too many adds not smooth,1
IIIII LOVE ITTT🙃😘😘😘😘😘💞💞💓💓💓,5
Cool,4
Stupid game that can't install!!!. I am trying this for 1 year to install,1
i love this app is not the first time I have ever seen a lot of fun,5
It is just very good you have to try it out OR ELSE...,5
this toys so beatiful and so wowowowowowowowowowowowowowowwoowowowowowow i am download this toys,5
I LOVE THIS GAME!,5
I like it,3
Too many ads if u want play just watch lol such a bad game,2
"Its fun,but it's just me being able to get back on track and I have to go out and get some things done for my family and friends with them and then we will have a great day to go and see how they can you and your inernet to Amelio",5
The game is fun but there's to many ads. you guys have to fix this,4
Better,4
Adds are killing the game,1
Super cool 😎,5
Ijakq Wnjwjwjajwnj ajajsjja hey guys I'm sure that I am looking to buy this product on namunne a few years now I si rj a few years now I expect my refund me my best wishes and love of Christ Jesus I already sent to me 3 a few years now I expect the payment to be a soft spot a few years now I expect the payment,5
Putting ads in the middle of each level has ruined the game,2
বাজে,3
Apsqlootly incredible 😍,5
Nice gem,4
Thank you for this game,3
Munivel,5
Very good game really nice no ads no lagging but the problem is that the lava takes a lot of cubes pls fix that overall really really good game,5
It I the best game I have ever played,5
Tick tok tall,5
☺️☺️☺️☺️👌,5
CUBE SURFER,5
Nice game i like it its amazing and i am in level 354 its the most hardful level but this game very nice and amazing and I hope all of the world must play it because it is fantasy . My name is hala ahmed from sudan iam muslim🥰😍😘,5
"The worst game that ever installed. The game suddenly are stopping for the sake of advertising and that's so horrible attitude. In addition, the game is not work offline you'll be need a network to play, so I I installed it",1
Games really fun don't get me wrong it's just the ads for me. Every time you complete a level there's an ad which it's super annoying to deal with.,3
I like ir cuz it makes me more happy,4
Idk,5
Achafgh,1
i like this.♡,5
Horrible,1
Great,4
Alsome game,5
Best game,5
very good,1
Don't Ever download this game,1
Dog water use the restroom too many ads in this game god,1
this game is so boring..I hate this game...😡😠😡😠😡😠😡😠😡😠😡😠😡👎👎👎👎👎👎👎👎,1
I love ❤️❤️❤️❤️ this game ❤️❤️❤️❤️😍😍😍😍😍😍😍,5
cooooooooooooollllllllllllllllllllll,5
I really like it 🙂🙂🙂🙂 it is a good game,5
Many ADS!!,1
Good and fun,5
"Very addicting, It's really normal like why ya guys have to rate it less than 5 stars? If it's lag then it's you're wifi well Yeah I have nothing to say",5
Me a five star this game rock and it haved been in my Cellphone for years😀.,5
It hasn't more option and it's too short,3
🤮,2
I have 10000000 gems left now todat,5
By the way I have a lot of money,5
Harsh Korta King,5
Enjoyable game. I played 5 mins and stopped for at least 20 times of adds.,2
It's amazing,5
Very intersting 😂😋,5
this a great game,5
I can play the game for 9 hours,5
This is not good did not enjoy boring game,1
☺😊😀😁😂😄😃😅😆😇😉😇👌👌👌👌👌👌👌👌👌👌👌,5
Cool,5
WOW,5
So bad,1
It's fun,3
It is a fun game,5
"So far so good, just lots of ads",4
funnnnnnnn,5
SRAP,5
Ads,1
I love it,5
